round,index,qtime_ms,wall_ms,numFound,error
9,63,798,817,28912,
9,64,495,512,41831,
9,65,788,805,57234,
9,66,894,911,57848,
9,67,670,687,77755,
9,68,814,832,86608,
9,69,790,844,25989,
9,70,593,611,21183,
9,71,829,845,57351,
9,72,963,981,28622,
9,73,811,836,86426,
9,74,700,719,77311,
9,75,620,637,25773,
9,76,610,726,51817,
9,77,789,810,57955,
9,78,727,749,77809,
9,79,473,502,63255,
9,80,485,502,21016,
9,81,590,734,77428,
9,82,622,639,25749,
9,83,767,787,86491,
9,84,512,532,25820,
9,85,684,702,51999,
9,86,778,795,86537,
9,87,753,769,57821,
9,88,761,778,29045,
9,89,600,695,25938,
9,90,797,814,28648,
9,91,666,683,25962,
9,92,703,720,57343,
9,93,601,619,51465,
9,94,693,764,77736,
9,95,610,654,63440,
9,96,645,663,77957,
9,97,473,490,42037,
9,98,441,459,77515,
9,99,415,432,25701,
10,0,598,690,21234,
10,1,740,757,25783,
10,2,623,693,42394,
10,3,855,874,28642,
10,4,768,829,28735,
10,5,802,826,28965,
10,6,540,559,63398,
10,7,646,664,25839,
10,8,473,505,62899,
10,9,501,519,20902,
10,10,621,639,25803,
10,11,765,790,28828,
10,12,611,626,25839,
10,13,476,496,62973,
10,14,530,582,63217,
10,15,725,756,86571,
10,16,458,501,42096,
10,17,752,769,28765,
10,18,729,819,86490,
10,19,754,813,57723,
10,20,594,676,52093,
10,21,597,614,63086,
10,22,825,841,28737,
10,23,791,825,86080,
10,24,572,619,41949,
10,25,746,767,57622,
10,26,495,512,62951,
10,27,671,699,51725,
10,28,488,515,21193,
10,29,513,530,42110,
10,30,733,751,57649,
10,31,765,786,28720,
10,32,669,687,51763,
10,33,786,803,28711,
10,34,589,681,42462,
10,35,506,535,41945,
10,36,522,542,63349,
10,37,722,740,77618,
10,38,685,702,25892,
10,39,670,692,77457,
10,40,538,558,20901,
10,41,603,632,25993,
10,42,792,815,86420,
10,43,658,676,25823,
10,44,668,688,77859,
10,45,584,671,21035,
10,46,800,817,57553,
10,47,574,656,25989,
10,48,568,588,63110,
10,49,727,817,86627,
10,50,603,624,51415,
10,51,525,547,63020,
10,52,694,712,51987,
10,53,741,758,25604,
10,54,853,891,26140,
10,55,931,948,86251,
10,56,755,783,77607,
10,57,648,671,25997,
10,58,494,512,21131,
10,59,547,574,42068,
10,60,497,521,20798,
10,61,612,633,51806,
10,62,624,640,77468,
10,63,509,528,63128,
10,64,519,539,63565,
10,65,766,784,28722,
10,66,675,692,25780,
10,67,710,726,77250,
10,68,660,679,25993,
10,69,494,515,20862,
10,70,675,691,51580,
10,71,668,690,77527,
10,72,868,885,86581,
10,73,530,560,20842,
10,74,800,864,57713,
10,75,840,857,57924,
10,76,640,658,52074,
10,77,788,810,86400,
10,78,698,715,77494,
10,79,719,737,25847,
10,80,627,685,77467,
10,81,581,597,25817,
10,82,799,819,86355,
10,83,491,561,63383,
10,84,669,690,51421,
10,85,711,729,86652,
10,86,510,543,21306,
10,87,496,513,42266,
10,88,632,650,51835,
10,89,770,853,57784,
10,90,774,791,28832,
10,91,532,548,63337,
10,92,711,728,57924,
10,93,611,628,26149,
10,94,506,522,21043,
10,95,552,569,63315,
10,96,604,620,77784,
10,97,624,699,77256,
10,98,543,561,25754,
10,99,506,523,21387,
11,0,853,872,57349,
11,1,720,826,51778,
11,2,841,860,28551,
11,3,802,826,77504,
11,4,926,946,28703,
11,5,845,865,28892,
11,6,728,745,51705,
11,7,765,785,51781,
11,8,508,528,20959,
11,9,662,679,25860,
11,10,797,856,78101,
11,11,738,778,42363,
11,12,584,725,21075,
11,13,527,544,63209,
11,14,553,575,20882,
11,15,530,551,20961,
11,16,482,510,62954,
11,17,611,691,26070,
11,18,803,822,29158,
11,19,784,801,52283,
11,20,796,821,28664,
